coccicheck-find,False-postive,,Notes,warning I got
kernel//audit_tree.c:141:5-29: atomic_dec_and_test variation before object free at line 142.,0,,yes,
kernel//fork.c:722:14-33: atomic_dec_and_test variation before object free at line 724.,0,,gone,
kernel//fork.c:1134:5-24: atomic_dec_and_test variation before object free at line 1136.,0,,gone,
kernel//bpf/syscall.c:481:5-26: atomic_dec_and_test variation before object free at line 483.,0,,yes,
kernel//bpf/syscall.c:2335:6-27: atomic_dec_and_test variation before object free at line 2340.,0,,yes,
kernel//bpf/syscall.c:2335:6-27: atomic_dec_and_test variation before object free at line 2342.,0,,yes,
kernel//sched/topology.c:570:6-25: atomic_dec_and_test variation before object free at line 571.,0,,yes,
kernel//sched/topology.c:458:7-26: atomic_dec_and_test variation before object free at line 472.,0,,yes,
kernel//sched/topology.c:482:6-25: atomic_dec_and_test variation before object free at line 485.,0,,yes,
kernel//cgroup/cgroup.c:5405:5-24: atomic_dec_and_test variation before object free at line 5407.,0,,yes,
kernel//bpf/cpumap.c:220:5-24: atomic_dec_and_test variation before object free at line 227.,0,,yes,
kernel//nsproxy.c:253:11-30: atomic_dec_and_test variation before object free at line 254.,0,,yes,
kernel//acct.c:135:5-29: atomic_dec_and_test variation before object free at line 136.,0,,yes,
kernel//events/core.c:4903:6-30: atomic_dec_and_test variation before object free at line 4906.,0,,yes,
kernel//user_namespace.c:200:10-29: atomic_dec_and_test variation before object free at line 195.,0,,yes,
kernel//signal.c:440:6-25: atomic_dec_and_test variation before object free at line 441.,0,,yes,
kernel//cpu.c:2351:8-16: WARNING: use scnprintf or sprintf,0,,yes,
kernel//cpu.c:2337:8-16: WARNING: use scnprintf or sprintf,0,,yes,
kernel//events/core.c:10575:8-16: WARNING: use scnprintf or sprintf,0,,gone,
kernel//events/core.c:10597:8-16: WARNING: use scnprintf or sprintf,0,,gone,
kernel//events/core.c:10586:8-16: WARNING: use scnprintf or sprintf,0,,gone,
kernel//kthread.c:265:2-8: ERROR: reference preceded by free on line 260,1,,gone,
kernel//kthread.c:278:1-7: ERROR: reference preceded by free on line 260,1,,gone,
kernel//rcu/rcuperf.c:407:19-22: ERROR: reference preceded by free on line 413,1,,gone,
kernel//rcu/rcuperf.c:413:10-13: ERROR: reference preceded by free on line 413,1,,gone,
kernel/bpf/btf.c:2883:6-7: ERROR: iterator variable bound on line 2881 cannot be NULL,1,,gone,
kernel/bpf/btf.c:2378:6-7: ERROR: iterator variable bound on line 2370 cannot be NULL,1,,gone,
