warning message,line of code,deletion,addition,Metavariable_type,code snippets,label
./drivers/net/ethernet/sun/sungem.c:2968:19-40: WARNING: casting value returned by memory allocation function to (struct gem_init_block *) is useless.,2968,"gp->init_block = (struct gem_init_block *)
                 dma_alloc_coherent(&pdev->dev, sizeof(struct gem_init_block),
                                    &gp->gblock_dvma, GFP_KERNEL);",none,static int gem_init_one(struct pci_dev *," 	/* It is guaranteed that the returned buffer will be at least
 	 * PAGE_SIZE aligned.
 	 */
-	gp->init_block = (struct gem_init_block *)
 		dma_alloc_coherent(&pdev->dev, sizeof(struct gem_init_block),
 				   &gp->gblock_dvma, GFP_KERNEL);
 	if (!gp->init_block) {",
./drivers/scsi/ibmvscsi/ibmvscsi.c:720:26-47: WARNING: casting value returned by memory allocation function to (struct srp_direct_buf *) is useless.,720,"evt_struct->ext_list = (struct srp_direct_buf *)
 			dma_alloc_coherent(dev,
 					   SG_ALL * sizeof(struct srp_direct_buf),
 					   &evt_struct->ext_list_token, 0);",none,static int map_sg_data(struct scsi_cmnd," 	/* get indirect table */
 	if (!evt_struct->ext_list) {
-		evt_struct->ext_list = (struct srp_direct_buf *)
 			dma_alloc_coherent(dev,
 					   SG_ALL * sizeof(struct srp_direct_buf),
 					   &evt_struct->ext_list_token, 0);",
./drivers/message/fusion/mptctl.c:2596:14-31: WARNING: casting value returned by memory allocation function to (SCSIDevicePage0_t *) is useless.,2596,"pg0_alloc = (SCSIDevicePage0_t *) pci_alloc_consistent(ioc->pcidev, data_sz, &page_dma);",none,"mptctl_hp_targetinfo(MPT_ADAPTER *ioc, u","        /* Get the data transfer speeds
         */
 	data_sz = ioc->spi_data.sdp0length * 4;
-	pg0_alloc = (SCSIDevicePage0_t *) pci_alloc_consistent(ioc->pcidev, data_sz, &page_dma);
 	if (pg0_alloc) {
 		hdr.PageVersion = ioc->spi_data.sdp0version;
 		hdr.PageLength = data_sz;",
./drivers/message/fusion/mptctl.c:2660:15-32: WARNING: casting value returned by memory allocation function to (SCSIDevicePage3_t *) is useless.,2660,"pg3_alloc = (SCSIDevicePage3_t *) pci_alloc_consistent(
 							ioc->pcidev, data_sz, &page_dma);",none,"mptctl_hp_targetinfo(MPT_ADAPTER *ioc, u"," 		/* Issue the second config page request */
 		cfg.action = MPI_CONFIG_ACTION_PAGE_READ_CURRENT;
 		data_sz = (int) cfg.cfghdr.hdr->PageLength * 4;
-		pg3_alloc = (SCSIDevicePage3_t *) pci_alloc_consistent(
 							ioc->pcidev, data_sz, &page_dma);
 		if (pg3_alloc) {
 			cfg.physAddr = page_dma;",
./drivers/message/fusion/mptfc.c:766:17-30: WARNING: casting value returned by memory allocation function to (FCPortPage0_t *) is useless.,766,"ppage0_alloc = (FCPortPage0_t *) pci_alloc_consistent(ioc->pcidev, data_sz, &page0_dma);",none,"mptfc_GetFcPortPage0(MPT_ADAPTER *ioc, i"," 
 	data_sz = hdr.PageLength * 4;
 	rc = -ENOMEM;
-	ppage0_alloc = (FCPortPage0_t *) pci_alloc_consistent(ioc->pcidev, data_sz, &page0_dma);
 	if (ppage0_alloc) {
 
  try_again:",
./drivers/message/fusion/mptfc.c:907:17-30: WARNING: casting value returned by memory allocation function to (FCPortPage1_t *) is useless.,907,"page1_alloc = (FCPortPage1_t *) pci_alloc_consistent(ioc->pcidev,
 						data_sz,
 						&page1_dma);",none,start_over:," 		if (data_sz < sizeof(FCPortPage1_t))
 			data_sz = sizeof(FCPortPage1_t);
 
-		page1_alloc = (FCPortPage1_t *) pci_alloc_consistent(ioc->pcidev,
 						data_sz,
 						&page1_dma);
 		if (!page1_alloc)",
./drivers/crypto/cavium/cpt/cptvf_main.c:236:17-19: WARNING: casting value returned by memory allocation function to (u8 *) is useless.,236,"curr->head = (u8 *)dma_alloc_coherent(&pdev->dev,
 							      c_size + CPT_NEXT_CHUNK_PTR_SIZE,
 							      &curr->dma_addr,
 							      GFP_KERNEL);",none,static int alloc_command_queues(struct c," 
 			c_size = (rem_q_size > qcsize_bytes) ? qcsize_bytes :
 					rem_q_size;
-			curr->head = (u8 *)dma_alloc_coherent(&pdev->dev,
 							      c_size + CPT_NEXT_CHUNK_PTR_SIZE,
 							      &curr->dma_addr,
 							      GFP_KERNEL);",
./drivers/net/ethernet/qlogic/qed/qed_rdma.c:1154:6-42: WARNING: casting value returned by memory allocation function to (struct rdma_destroy_cq_output_params *) is useless.,1154,"(struct rdma_destroy_cq_output_params *)
 	    dma_alloc_coherent(&p_hwfn->cdev->pdev->dev,
 			       sizeof(struct rdma_destroy_cq_output_params),
 			       &ramrod_res_phys, GFP_KERNEL);",none,"qed_rdma_destroy_cq(void *rdma_cxt,"," 	DP_VERBOSE(p_hwfn, QED_MSG_RDMA, ""icid = %08x\n"", in_params->icid);
 
 	p_ramrod_res =
-	    (struct rdma_destroy_cq_output_params *)
 	    dma_alloc_coherent(&p_hwfn->cdev->pdev->dev,
 			       sizeof(struct rdma_destroy_cq_output_params),
 			       &ramrod_res_phys, GFP_KERNEL);",
./drivers/nfc/st21nfca/se.c:318:17-43: WARNING: casting value returned by memory allocation function to (struct nfc_evt_transaction *) is useless.,318,"transaction = (struct nfc_evt_transaction *)devm_kzalloc(dev,
 						   skb->len - 2, GFP_KERNEL);",none,int st21nfca_connectivity_event_received," 		    skb->data[0] != NFC_EVT_TRANSACTION_AID_TAG)
 			return -EPROTO;
 
-		transaction = (struct nfc_evt_transaction *)devm_kzalloc(dev,
 						   skb->len - 2, GFP_KERNEL);
 		if (!transaction)
 			return -ENOMEM;",
./include/rdma/ib_verbs.h:2275:3-17: WARNING: casting value returned by memory allocation function to (struct ib_type *) is useless.,2275,"((struct ib_type *)kzalloc(ib_dev->ops.size_##ib_type, gfp))",none,struct iw_cm_conn_param;," 				      struct ib_struct)))
 
 #define rdma_zalloc_drv_obj_gfp(ib_dev, ib_type, gfp)                         \
-	((struct ib_type *)kzalloc(ib_dev->ops.size_##ib_type, gfp))
 
 #define rdma_zalloc_drv_obj(ib_dev, ib_type)                                   \
 	rdma_zalloc_drv_obj_gfp(ib_dev, ib_type, GFP_KERNEL)",
